reading from file run-05-active, link-type EN10MB (Ethernet)
1788373933.585739 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.636167 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.686018 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.736154 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.786212 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.835810 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.886377 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.935512 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373933.986302 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.036009 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.085513 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.136244 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.186030 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.235580 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.286098 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.335862 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.385709 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.436074 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.486073 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.536457 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.586109 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.635837 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.686506 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.736143 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.785787 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.836398 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.886123 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373934.935900 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
