reading from file run-06-idle, link-type EN10MB (Ethernet)
1788373938.120104 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.170676 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.220251 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.270821 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.320380 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.369689 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.420296 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.469862 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.520560 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.570255 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.619909 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.670571 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.720113 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.770805 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.820380 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.869975 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.920699 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373938.970226 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.019819 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.070391 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.119955 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.170583 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.220214 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.269815 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.320356 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.369982 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.420467 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.470116 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.520768 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.570423 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.619983 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.670615 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.720225 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.770814 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.820438 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.870020 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.920660 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373939.970221 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.020878 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.070452 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.120152 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.170687 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.220179 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.270816 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.320325 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.369859 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.420409 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.470052 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.520669 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.570309 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.619817 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.670422 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.720090 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.770652 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.820343 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.869865 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.920499 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373940.970127 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.020731 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.070404 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.120062 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.170556 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.220214 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.269800 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.320445 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.370069 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.420660 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.470304 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.519912 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.570528 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.620097 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.670711 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.720526 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.770156 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.820916 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.870511 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.920297 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373941.969768 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.020311 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.069782 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
